Year,City,Country,Avg_Temp,Corrected Avg_Temp,7 years MA,10 years MA,20 years MA,,,
1956,Ludhiana,India,23.76,23.76,23.74428571,23.79922078,23.60159091,,,
1957,Ludhiana,India,22.98,22.98,23.76714286,23.79935065,23.62251948,,,
1958,Ludhiana,India,24.16,24.16,23.81857143,23.79142857,23.64285714,,,
1959,Ludhiana,India,23.81,23.81,23.78857143,23.7912987,23.66274675,,,
1960,Ludhiana,India,23.87,23.87,23.70714286,23.78168831,23.68134416,,,
1961,Ludhiana,India,23.24,23.24,23.62,23.77636364,23.69807143,,,
1962,Ludhiana,India,23.45,23.45,23.61,23.76324675,23.7123961,,,
1963,Ludhiana,India,23.71,23.71,23.60285714,23.73818182,23.72400649,,,
1964,Ludhiana,India,23.17,23.17,23.63,23.71376623,23.73300649,,,
1965,Ludhiana,India,23.44,23.44,23.52714286,23.68896104,23.74005844,,,
1966,Ludhiana,India,23.55,23.55,23.49,23.66415584,23.74428571,,,
1967,Ludhiana,India,23.41,23.41,23.42428571,23.63506494,23.74475325,,,
1968,Ludhiana,India,23.33,23.33,23.43714286,23.60506494,23.74207143,,,
1969,Ludhiana,India,24.13,24.13,23.53428571,23.57922078,23.7363961,,,
1970,Ludhiana,India,24.01,24.01,23.57714286,23.56,23.72845455,,,
1971,Ludhiana,India,23.71,23.71,23.65428571,23.55519481,23.71897403,,,
1972,Ludhiana,India,23.67,23.67,23.68714286,23.5612987,23.70862338,,,
1973,Ludhiana,India,23.86,23.86,23.73142857,23.57233766,23.69792857,,,
1974,Ludhiana,India,23.54,23.54,23.75,23.58571429,23.68768182,,,
1975,Ludhiana,India,23.35,23.35,23.75285714,23.59688312,23.67792208,,,
1976,Ludhiana,India,23.44,23.44,23.65428571,23.60844156,23.66838312,,,
1977,Ludhiana,India,23.83,23.83,23.62857143,23.62103896,23.65946753,,,
1978,Ludhiana,India,23.7,23.7,23.62714286,23.63948052,23.65187013,,,
1979,Ludhiana,India,23.94,23.94,23.66571429,23.66025974,23.64531818,,,
1980,Ludhiana,India,24.33,24.33,23.73285714,23.67831169,23.64014935,,,
1981,Ludhiana,India,23.98,23.98,23.79571429,23.69818182,23.63624026,,,
1982,Ludhiana,India,23.45,23.45,23.81,23.71233766,23.63369481,,,
1983,Ludhiana,India,23.11,23.11,23.76285714,23.71922078,23.63274675,,,
1984,Ludhiana,India,23.9,23.9,23.77285714,23.72298701,23.63320779,,,
1985,Ludhiana,India,24.44,24.44,23.87857143,23.73467532,23.63549351,,,
1986,Ludhiana,India,23.55,23.55,23.82285714,23.74103896,23.63933766,,,
1987,Ludhiana,India,24.52,24.52,23.85,23.75883117,23.64552597,,,
1988,Ludhiana,India,24.61,24.61,23.94,23.78714286,23.65462987,,,
1989,Ludhiana,India,23.62,23.62,23.96428571,23.81779221,23.66655844,,,
1990,Ludhiana,India,24.1,24.1,24.10571429,23.85779221,23.68144805,,,
1991,Ludhiana,India,23.77,23.77,24.08714286,23.89,23.69818831,,,
1992,Ludhiana,India,23.79,23.79,23.99428571,23.90805195,23.71552597,,,
1993,Ludhiana,India,24.34,24.34,24.10714286,23.93506494,23.73366234,,,
1994,Ludhiana,India,24.29,24.29,24.07428571,23.96337662,23.75254545,,,
1995,Ludhiana,India,24.04,24.04,23.99285714,23.98337662,23.77187013,,,
1996,Ludhiana,India,23.81,23.81,24.02,23.99623377,23.79125974,,,
1997,Ludhiana,India,23.26,23.26,23.9,24.00324675,23.81037013,,,
1998,Ludhiana,India,24.34,24.34,23.98142857,24.01519481,23.82915584,,,
1999,Ludhiana,India,24.9,24.9,24.14,24.03337662,23.84781169,,,
2000,Ludhiana,India,24.57,24.57,24.17285714,24.05233766,23.86651299,,,
2001,Ludhiana,India,24.5,24.5,24.20285714,24.06116883,23.88466234,,,
2002,Ludhiana,India,24.91,24.91,24.32714286,24.08298701,23.90319481,,,
2003,Ludhiana,India,24.1,24.1,24.36857143,24.11701299,23.92308442,,,
2004,Ludhiana,India,24.85,24.85,24.59571429,24.16142857,23.94500649,,,
2005,Ludhiana,India,24.12,24.12,24.56428571,24.20597403,23.96857143,,,
2006,Ludhiana,India,24.72,24.72,24.53857143,24.25558442,23.9942987,,,
2007,Ludhiana,India,24.6,24.6,24.54285714,24.30311688,24.02151299,,,
2008,Ludhiana,India,24.25,24.25,24.50714286,24.35831169,24.05007143,,,
2009,Ludhiana,India,24.87,24.87,24.50142857,24.40558442,24.07946104,,,
2010,Ludhiana,India,24.98,24.98,24.62714286,24.44987013,24.10906494,,,
2011,Ludhiana,India,24.35,24.35,24.55571429,24.48467532,24.1387987,,,
2012,Ludhiana,India,24.37,24.37,24.59142857,24.52,24.1693961,,,
2013,Ludhiana,India,25.44,25.44,24.69428571,24.55337662,24.20031169,,,
